ncodpers,added_products
1050535,ind_ctop_fin_ult1
1050536,ind_ctop_fin_ult1
1050537,ind_recibo_ult1
1050540,ind_ctop_fin_ult1
1050541,ind_ctop_fin_ult1
1050542,ind_ctop_fin_ult1
1050543,ind_ctop_fin_ult1
1050544,ind_ctop_fin_ult1
1050547,ind_ctop_fin_ult1
1050548,ind_ctop_fin_ult1
1050550,ind_ctop_fin_ult1
1050713,ind_ctop_fin_ult1
1050715,ind_ctop_fin_ult1
1050717,ind_ctop_fin_ult1
1050873,ind_ctop_fin_ult1
1050874,ind_ctop_fin_ult1
1050875,ind_ctop_fin_ult1
1050878,ind_ctop_fin_ult1
1050879,ind_ctop_fin_ult1
1050884,ind_ctop_fin_ult1
1050885,ind_ctop_fin_ult1
1050887,ind_ctop_fin_ult1
1050888,ind_ctop_fin_ult1
1050890,ind_ctop_fin_ult1
1050891,ind_ctop_fin_ult1
1050893,ind_ctop_fin_ult1
1050894,ind_ctop_fin_ult1
1050896,ind_ctop_fin_ult1
1050897,ind_ctop_fin_ult1
1050872,ind_ctop_fin_ult1
1050898,ind_ctop_fin_ult1
1050871,ind_ctop_fin_ult1
1050867,ind_ctop_fin_ult1
1050841,ind_ctop_fin_ult1
1050844,ind_ctop_fin_ult1
1050846,ind_ctop_fin_ult1
1050847,ind_ctop_fin_ult1
1050848,ind_ctop_fin_ult1
1050851,ind_ctop_fin_ult1
1050852,ind_ctop_fin_ult1
1050854,ind_ctop_fin_ult1
1050855,ind_ctop_fin_ult1
1050857,ind_recibo_ult1
1050859,ind_ctop_fin_ult1
1050861,ind_ctop_fin_ult1
1050862,ind_ctop_fin_ult1
1050864,ind_ctop_fin_ult1
1050865,ind_ctop_fin_ult1
1050869,ind_tjcr_fin_ult1
1050838,ind_ctop_fin_ult1
1050901,ind_ctop_fin_ult1
1050905,ind_ctop_fin_ult1
1050927,ind_ctop_fin_ult1
1050930,ind_ctop_fin_ult1
1050931,ind_ctop_fin_ult1
1050932,ind_ctop_fin_ult1
1050933,ind_ctop_fin_ult1
1050934,ind_ctop_fin_ult1
1050935,ind_ctop_fin_ult1
1050936,ind_ctop_fin_ult1
1050937,ind_ctop_fin_ult1
1050938,ind_ctop_fin_ult1
1050939,ind_ctop_fin_ult1
1050940,ind_ctop_fin_ult1
1050941,ind_ctop_fin_ult1
1050943,ind_ctop_fin_ult1
1050944,ind_ctop_fin_ult1
1050926,ind_ctop_fin_ult1
1050902,ind_ctop_fin_ult1
1050925,ind_ctop_fin_ult1
1050922,ind_ctop_fin_ult1
1050906,ind_ctop_fin_ult1
1050907,ind_ctop_fin_ult1
1050908,ind_ctop_fin_ult1
1050909,ind_ctop_fin_ult1
1050910,ind_ctop_fin_ult1
1050911,ind_cco_fin_ult1
1050912,ind_ctop_fin_ult1
1050913,ind_ctop_fin_ult1
1050914,ind_cco_fin_ult1
1050915,ind_ctop_fin_ult1
1050916,ind_ctop_fin_ult1
1050917,ind_ctop_fin_ult1
1050919,ind_ctop_fin_ult1
1050920,ind_recibo_ult1
1050921,ind_ctop_fin_ult1
1050924,ind_ctop_fin_ult1
1050837,ind_ctop_fin_ult1
1050836,ind_ctop_fin_ult1
1050834,ind_ctop_fin_ult1
1050748,ind_ctop_fin_ult1
1050749,ind_ctop_fin_ult1
1050750,ind_ctop_fin_ult1
1050751,ind_ctop_fin_ult1
1050752,ind_recibo_ult1
1050753,ind_ctop_fin_ult1
1050754,ind_ctop_fin_ult1
1050755,ind_ctop_fin_ult1
1050756,ind_ctop_fin_ult1
1050757,ind_ctop_fin_ult1
1050758,ind_ctop_fin_ult1
1050759,ind_ctop_fin_ult1
1050760,ind_ctop_fin_ult1
1050762,ind_ctop_fin_ult1
1050764,ind_ctop_fin_ult1
1050747,ind_ctop_fin_ult1
1050766,ind_ctop_fin_ult1
1050746,ind_ctop_fin_ult1
1050743,ind_ctop_fin_ult1
1050718,ind_ctop_fin_ult1
1050720,ind_ctop_fin_ult1
1050722,ind_ctop_fin_ult1
1050725,ind_ctop_fin_ult1
1050727,ind_ctop_fin_ult1
1050728,ind_ctop_fin_ult1
1050732,ind_ctop_fin_ult1
1050734,ind_ctop_fin_ult1
1050735,ind_ctop_fin_ult1
1050736,ind_ctop_fin_ult1
1050738,ind_ctop_fin_ult1
1050739,ind_ctop_fin_ult1
1050740,ind_ctop_fin_ult1
1050741,ind_ctop_fin_ult1
1050742,ind_ctop_fin_ult1
1050744,ind_ctop_fin_ult1
1050768,ind_ctop_fin_ult1
1050769,ind_ctop_fin_ult1
1050771,ind_dela_fin_ult1
1050806,ind_ctop_fin_ult1
1050810,ind_ctop_fin_ult1
1050811,ind_ctop_fin_ult1
1050813,ind_ctop_fin_ult1
1050815,ind_ctop_fin_ult1
1050817,ind_ctop_fin_ult1
1050819,ind_ctop_fin_ult1
1050820,ind_ctop_fin_ult1
1050822,ind_ctop_fin_ult1
1050824,ind_ctop_fin_ult1
1050825,ind_ctop_fin_ult1
1050829,ind_ctop_fin_ult1
1050830,ind_ctop_fin_ult1
1050832,ind_ctop_fin_ult1
1050833,ind_ctop_fin_ult1
1050804,ind_ecue_fin_ult1
1050803,ind_ctop_fin_ult1
1050800,ind_ctop_fin_ult1
1050798,ind_ctop_fin_ult1
1050773,ind_ctop_fin_ult1
1050774,ind_ctop_fin_ult1
1050775,ind_ctop_fin_ult1
1050778,ind_ctop_fin_ult1
1050779,ind_ctop_fin_ult1
1050781,ind_ctop_fin_ult1
1050784,ind_ctop_fin_ult1
1050486,ind_ctop_fin_ult1
1050786,ind_ctop_fin_ult1
1050788,ind_ctop_fin_ult1
1050790,ind_ctop_fin_ult1
1050791,ind_ctop_fin_ult1
1050793,ind_ctop_fin_ult1
1050794,ind_ctop_fin_ult1
1050796,ind_ctop_fin_ult1
1050797,ind_ctop_fin_ult1
1050787,ind_ctop_fin_ult1
1050946,ind_ctop_fin_ult1
1050485,ind_ctop_fin_ult1
1050481,ind_ctop_fin_ult1
1050227,ind_ctop_fin_ult1
1050228,ind_ctop_fin_ult1
1050229,ind_ctop_fin_ult1
1050230,ind_ctop_fin_ult1
1050231,ind_ctop_fin_ult1
1050233,ind_ctop_fin_ult1
1050234,ind_ctop_fin_ult1
1050235,ind_ctop_fin_ult1
1050238,ind_ctop_fin_ult1
1050239,ind_ctop_fin_ult1
1050240,ind_ctop_fin_ult1
1050242,ind_ctop_fin_ult1
1050243,ind_ctop_fin_ult1
1050244,ind_ctop_fin_ult1
1050245,ind_ctop_fin_ult1
1050226,ind_ctop_fin_ult1
1050246,ind_ctop_fin_ult1
1050225,ind_ctop_fin_ult1
1050223,ind_ctop_fin_ult1
1050204,ind_ctop_fin_ult1
1050207,ind_ctop_fin_ult1
1050208,ind_ctop_fin_ult1
1050209,ind_ctop_fin_ult1
1050210,ind_ctop_fin_ult1
1050211,ind_ctop_fin_ult1
1050213,ind_ctop_fin_ult1
1050214,ind_ctop_fin_ult1
1050215,ind_ctop_fin_ult1
1050216,ind_ctop_fin_ult1
1050217,ind_ctop_fin_ult1
1050218,ind_ctop_fin_ult1
1050219,ind_ctop_fin_ult1
1050220,ind_ctop_fin_ult1
1050222,ind_ctop_fin_ult1
1050224,ind_ctop_fin_ult1
1050202,ind_ctop_fin_ult1
1050247,ind_ctop_fin_ult1
1050251,ind_ctop_fin_ult1
1050275,ind_ctop_fin_ult1
1050277,ind_ctop_fin_ult1
1050278,ind_ctop_fin_ult1
1050279,ind_ctop_fin_ult1
1050280,ind_ctop_fin_ult1
1050284,ind_ctop_fin_ult1
1050285,ind_ctop_fin_ult1
1050287,ind_ctop_fin_ult1
1050288,ind_ctop_fin_ult1
1050289,ind_ctop_fin_ult1
1050290,ind_ctop_fin_ult1
1050291,ind_ctop_fin_ult1
1050292,ind_ctop_fin_ult1
1050293,ind_ctop_fin_ult1
1050294,ind_ctop_fin_ult1
1050274,ind_ctop_fin_ult1
1050249,ind_ctop_fin_ult1
1050273,ind_ctop_fin_ult1
1050271,ind_ctop_fin_ult1
1050252,ind_ctop_fin_ult1
1050253,ind_ctop_fin_ult1
1050254,ind_ctop_fin_ult1
1050257,ind_ctop_fin_ult1
1050258,ind_ctop_fin_ult1
1050259,ind_ctop_fin_ult1
1050261,ind_ctop_fin_ult1
1050262,ind_ctop_fin_ult1
1050263,ind_ctop_fin_ult1
1050264,ind_ctop_fin_ult1
1050266,ind_ctop_fin_ult1
1050267,ind_ctop_fin_ult1
1050268,ind_ctop_fin_ult1
1050269,ind_ctop_fin_ult1
1050270,ind_ctop_fin_ult1
1050272,ind_ctop_fin_ult1
1050295,ind_ctop_fin_ult1
1050201,ind_ctop_fin_ult1
1050199,ind_ctop_fin_ult1
1050125,ind_ctop_fin_ult1
1050130,ind_ctop_fin_ult1
1050132,ind_ctop_fin_ult1
1050134,ind_ctop_fin_ult1
1050135,ind_ctop_fin_ult1
1050137,ind_ctop_fin_ult1
1050138,ind_ctop_fin_ult1
1050141,ind_cco_fin_ult1
1050143,ind_ctop_fin_ult1
1050144,ind_ctop_fin_ult1
1050146,ind_recibo_ult1
1050148,ind_ctop_fin_ult1
1050149,ind_ctop_fin_ult1
1050150,ind_ctop_fin_ult1
1050153,ind_ctop_fin_ult1
1050124,ind_ctop_fin_ult1
1050154,ind_ctop_fin_ult1
1050120,ind_ctop_fin_ult1
1050116,ind_ctop_fin_ult1
1050088,ind_ctop_fin_ult1
1050091,ind_tjcr_fin_ult1
1050094,ind_ctop_fin_ult1
1050095,ind_ctop_fin_ult1
1050096,ind_ctop_fin_ult1
1050098,ind_ctop_fin_ult1
1050102,ind_ctop_fin_ult1
1050103,ind_ctop_fin_ult1
1050104,ind_ctop_fin_ult1
1050107,ind_ctop_fin_ult1
1050109,ind_ctop_fin_ult1
1050110,ind_ctop_fin_ult1
1050111,ind_ctop_fin_ult1
1050113,ind_ctop_fin_ult1
1050114,ind_ctop_fin_ult1
1050117,ind_ctop_fin_ult1
1050200,ind_ctop_fin_ult1
1050155,ind_recibo_ult1
1050157,ind_ctop_fin_ult1
1050182,ind_ctop_fin_ult1
1050183,ind_ctop_fin_ult1
1050184,ind_ctop_fin_ult1
1050185,ind_ctop_fin_ult1
1050186,ind_ctop_fin_ult1
1050188,ind_ctop_fin_ult1
1050189,ind_ctop_fin_ult1
1050190,ind_ctop_fin_ult1
1050191,ind_ctop_fin_ult1
1050192,ind_ctop_fin_ult1
1050193,ind_ctop_fin_ult1
1050194,ind_ctop_fin_ult1
1050195,ind_ctop_fin_ult1
1050197,ind_ctop_fin_ult1
1050198,ind_ctop_fin_ult1
1050179,ind_ctop_fin_ult1
1050156,ind_ctop_fin_ult1
1050176,ind_ctop_fin_ult1
1050174,ind_ctop_fin_ult1
1050158,ind_ctop_fin_ult1
1050159,ind_ctop_fin_ult1
1050160,ind_ctop_fin_ult1
1050161,ind_ctop_fin_ult1
1050162,ind_ctop_fin_ult1
1050163,ind_ctop_fin_ult1
1050164,ind_ctop_fin_ult1
1050165,ind_ctop_fin_ult1
1050166,ind_ctop_fin_ult1
1050167,ind_ctop_fin_ult1
1050168,ind_ctop_fin_ult1
1050169,ind_ctop_fin_ult1
1050171,ind_ctop_fin_ult1
1050172,ind_ctop_fin_ult1
1050173,ind_ctop_fin_ult1
1050175,ind_ctop_fin_ult1
1050296,ind_ctop_fin_ult1
1050298,ind_ctop_fin_ult1
1050299,ind_ctop_fin_ult1
1050417,ind_ctop_fin_ult1
1050418,ind_ctop_fin_ult1
1050419,ind_ctop_fin_ult1
1050420,ind_ctop_fin_ult1
1050421,ind_ctop_fin_ult1
1050422,ind_ctop_fin_ult1
1050423,ind_ctop_fin_ult1
1050424,ind_ctop_fin_ult1
1050425,ind_ctop_fin_ult1
1050426,ind_ctop_fin_ult1
1050428,ind_ctop_fin_ult1
1050430,ind_ctop_fin_ult1
1050431,ind_ctop_fin_ult1
1050432,ind_ctop_fin_ult1
1050433,ind_ctop_fin_ult1
1050416,ind_ctop_fin_ult1
1050435,ind_ctop_fin_ult1
1050415,ind_ctop_fin_ult1
1050413,ind_ctop_fin_ult1
1050394,ind_ctop_fin_ult1
1050396,ind_ctop_fin_ult1
1050397,ind_ctop_fin_ult1
1050398,ind_ctop_fin_ult1
1050400,ind_ctop_fin_ult1
1050401,ind_ctop_fin_ult1
1050403,ind_ctop_fin_ult1
1050404,ind_ctop_fin_ult1
1050405,ind_ctop_fin_ult1
1050406,ind_ctop_fin_ult1
1050407,ind_ctop_fin_ult1
1050408,ind_ctop_fin_ult1
1050409,ind_ctop_fin_ult1
1050411,ind_ctop_fin_ult1
1050412,ind_ctop_fin_ult1
1050414,ind_ctop_fin_ult1
1050392,ind_ctop_fin_ult1
1050436,ind_ctop_fin_ult1
1050438,ind_ctop_fin_ult1
1050462,ind_ctop_fin_ult1
1050463,ind_ctop_fin_ult1
1050464,ind_ctop_fin_ult1
1050465,ind_ctop_fin_ult1
1050466,ind_ctop_fin_ult1
1050467,ind_ctop_fin_ult1
1050468,ind_ctop_fin_ult1
1050469,ind_ctop_fin_ult1
1050470,ind_ctop_fin_ult1
1050473,ind_ctop_fin_ult1
1050474,ind_ctop_fin_ult1
1050475,ind_ctop_fin_ult1
1050476,ind_ctop_fin_ult1
1050477,ind_ctop_fin_ult1
1050478,ind_ctop_fin_ult1
1050461,ind_ctop_fin_ult1
1050437,ind_ctop_fin_ult1
1050460,ind_ctop_fin_ult1
1050458,ind_ctop_fin_ult1
1050439,ind_ctop_fin_ult1
1050441,ind_ctop_fin_ult1
1050443,ind_ctop_fin_ult1
1050444,ind_ctop_fin_ult1
1050445,ind_ctop_fin_ult1
1050446,ind_ctop_fin_ult1
1050447,ind_ctop_fin_ult1
1050449,ind_ctop_fin_ult1
1050450,ind_ctop_fin_ult1
1050451,ind_ctop_fin_ult1
1050452,ind_ctop_fin_ult1
1050453,ind_ctop_fin_ult1
1050454,ind_ctop_fin_ult1
1050455,ind_ctop_fin_ult1
1050457,ind_ctop_fin_ult1
1050459,ind_ctop_fin_ult1
1050391,ind_ctop_fin_ult1
1050390,ind_ctop_fin_ult1
1050389,ind_cco_fin_ult1
1050324,ind_ctop_fin_ult1
1050325,ind_ctop_fin_ult1
1050326,ind_ctop_fin_ult1
1050327,ind_ctop_fin_ult1
1050328,ind_ctop_fin_ult1
1050330,ind_ctop_fin_ult1
1050332,ind_ctop_fin_ult1
1050333,ind_ctop_fin_ult1
1050334,ind_ctop_fin_ult1
1050336,ind_ctop_fin_ult1
1050337,ind_cco_fin_ult1
1050338,ind_ctop_fin_ult1
1050340,ind_ctop_fin_ult1
1050341,ind_ctop_fin_ult1
1050342,ind_ctop_fin_ult1
1050322,ind_ctop_fin_ult1
1050343,ind_ctop_fin_ult1
1050321,ind_ctop_fin_ult1
1050318,ind_ctop_fin_ult1
1050301,ind_ctop_fin_ult1
1050302,ind_ctop_fin_ult1
1050303,ind_ctop_fin_ult1
1050304,ind_ctop_fin_ult1
1050305,ind_ctop_fin_ult1
1050306,ind_ctop_fin_ult1
1050307,ind_ctop_fin_ult1
1050308,ind_dela_fin_ult1
1050309,ind_ctop_fin_ult1
1050310,ind_ctop_fin_ult1
1050311,ind_ctop_fin_ult1
1050312,ind_ctop_fin_ult1
1050315,ind_ctop_fin_ult1
1050316,ind_ctop_fin_ult1
1050317,ind_ctop_fin_ult1
1050319,ind_ctop_fin_ult1
1050344,ind_ctop_fin_ult1
1050345,ind_ctop_fin_ult1
1050346,ind_ctop_fin_ult1
1050373,ind_ctop_fin_ult1
1050374,ind_ctop_fin_ult1
1050375,ind_ctop_fin_ult1
1050376,ind_ctop_fin_ult1
1050377,ind_ctop_fin_ult1
1050378,ind_ctop_fin_ult1
1050379,ind_ctop_fin_ult1
1050380,ind_ctop_fin_ult1
1050381,ind_ctop_fin_ult1
1050383,ind_ctop_fin_ult1
1050384,ind_ctop_fin_ult1
1050385,ind_ctop_fin_ult1
1050386,ind_ctop_fin_ult1
1050387,ind_ctop_fin_ult1
1050388,ind_ctop_fin_ult1
1050372,ind_ctop_fin_ult1
1050370,ind_ctop_fin_ult1
1050368,ind_ctop_fin_ult1
1050367,ind_ctop_fin_ult1
1050347,ind_ctop_fin_ult1
1050348,ind_ctop_fin_ult1
1050350,ind_ctop_fin_ult1
1050351,ind_ctop_fin_ult1
1050352,ind_ctop_fin_ult1
1050355,ind_ctop_fin_ult1
1050356,ind_ctop_fin_ult1
1050482,ind_ctop_fin_ult1
1050357,ind_ctop_fin_ult1
1050359,ind_ctop_fin_ult1
1050360,ind_nomina_ult1
1050362,ind_ctop_fin_ult1
1050363,ind_ctop_fin_ult1
1050364,ind_ctop_fin_ult1
1050365,ind_ctop_fin_ult1
1050366,ind_ctop_fin_ult1
1050358,ind_recibo_ult1
1050947,ind_ctop_fin_ult1
1050948,ind_ctop_fin_ult1
1050951,ind_ctop_fin_ult1
1051879,ind_ctop_fin_ult1
1051882,ind_ctop_fin_ult1
1051884,ind_ctop_fin_ult1
1051886,ind_ctop_fin_ult1
1051894,ind_ctop_fin_ult1
1051896,ind_ctop_fin_ult1
1051902,ind_ctop_fin_ult1
1051904,ind_ctop_fin_ult1
1051906,ind_ctop_fin_ult1
1051908,ind_ctop_fin_ult1
1051910,ind_ctop_fin_ult1
1051912,ind_ctop_fin_ult1
1051913,ind_ctop_fin_ult1
1051914,ind_ctop_fin_ult1
1051916,ind_ctop_fin_ult1
1051878,ind_ctop_fin_ult1
1051919,ind_ctop_fin_ult1
1051876,ind_ctop_fin_ult1
1051872,ind_ctop_fin_ult1
1051842,ind_ctop_fin_ult1
1051843,ind_recibo_ult1
1051847,ind_ctop_fin_ult1
1051851,ind_dela_fin_ult1
1051852,ind_dela_fin_ult1
1051853,ind_dela_fin_ult1
1051854,ind_dela_fin_ult1
1051857,ind_ctop_fin_ult1
1051858,ind_ctop_fin_ult1
1051861,ind_ctop_fin_ult1
1051862,ind_ctop_fin_ult1
1051864,ind_ctop_fin_ult1
1051865,ind_ctop_fin_ult1
1051867,ind_ctop_fin_ult1
1051868,ind_ctop_fin_ult1
1051874,ind_ctop_fin_ult1
1051840,ind_ctop_fin_ult1
1051920,ind_cco_fin_ult1
1051924,ind_ctop_fin_ult1
1051971,ind_ctop_fin_ult1
1051973,ind_ctop_fin_ult1
1051979,ind_ctop_fin_ult1
1051981,ind_ctop_fin_ult1
1051985,ind_ctop_fin_ult1
1051989,ind_ctop_fin_ult1
1051993,ind_ctop_fin_ult1
1051995,ind_ctop_fin_ult1
1051997,ind_ctop_fin_ult1
1051999,ind_ctop_fin_ult1
1052003,ind_ctop_fin_ult1
1052007,ind_ctop_fin_ult1
1052011,ind_ctop_fin_ult1
1052013,ind_ctop_fin_ult1
1052017,ind_ctop_fin_ult1
1051968,ind_tjcr_fin_ult1
1051922,ind_ctop_fin_ult1
1051966,ind_ctop_fin_ult1
1051962,ind_ctop_fin_ult1
1051927,ind_ctop_fin_ult1
1051929,ind_ctop_fin_ult1
1051931,ind_ctop_fin_ult1
1051935,ind_ctop_fin_ult1
1051937,ind_ctop_fin_ult1
1051939,ind_ctop_fin_ult1
1051940,ind_ctop_fin_ult1
1051944,ind_ctop_fin_ult1
1051946,ind_ctop_fin_ult1
1051948,ind_ctop_fin_ult1
1051950,ind_ctop_fin_ult1
1051954,ind_ctop_fin_ult1
1051956,ind_ctop_fin_ult1
1051958,ind_ctop_fin_ult1
1051960,ind_ctop_fin_ult1
1051964,ind_ctop_fin_ult1
1052021,ind_recibo_ult1
1051839,ind_recibo_ult1
1051835,ind_cco_fin_ult1
1051701,ind_ctop_fin_ult1
1051703,ind_ctop_fin_ult1
1051705,ind_ctop_fin_ult1
1051707,ind_ctop_fin_ult1
1051711,ind_ctop_fin_ult1
1051712,ind_ctop_fin_ult1
1051716,ind_ctop_fin_ult1
1051718,ind_ctop_fin_ult1
1051719,ind_ctop_fin_ult1
1051721,ind_ctop_fin_ult1
1051725,ind_recibo_ult1
1051726,ind_ctop_fin_ult1
1051727,ind_ctop_fin_ult1
1051729,ind_ctop_fin_ult1
1051737,ind_ctop_fin_ult1
1051699,ind_ctop_fin_ult1
1051738,ind_ctop_fin_ult1
1051697,ind_ctop_fin_ult1
1051695,ind_ctop_fin_ult1
1051667,ind_ctop_fin_ult1
1051670,ind_ctop_fin_ult1
1051672,ind_ctop_fin_ult1
1051674,ind_ctop_fin_ult1
1051676,ind_ctop_fin_ult1
1051677,ind_ctop_fin_ult1
1051679,ind_ctop_fin_ult1
1051682,ind_ctop_fin_ult1
1051684,ind_ctop_fin_ult1
1051686,ind_ctop_fin_ult1
1051688,ind_ctop_fin_ult1
1051690,ind_ctop_fin_ult1
1051691,ind_ctop_fin_ult1
1051692,ind_ctop_fin_ult1
1051693,ind_ctop_fin_ult1
1051696,ind_ctop_fin_ult1
1051836,ind_ctop_fin_ult1
1051742,ind_ctop_fin_ult1
1051748,ind_ctop_fin_ult1
1051794,ind_recibo_ult1
1051796,ind_dela_fin_ult1
1051798,ind_recibo_ult1
1051799,ind_cco_fin_ult1
1051800,ind_reca_fin_ult1
1051805,ind_recibo_ult1
1051809,ind_ctop_fin_ult1
1051816,ind_cco_fin_ult1
1051819,ind_ctop_fin_ult1
1051824,ind_recibo_ult1
1051826,ind_ctop_fin_ult1
1051827,ind_recibo_ult1
1051831,ind_cco_fin_ult1
1051832,ind_ctop_fin_ult1
1051833,ind_reca_fin_ult1
1051793,ind_ctop_fin_ult1
1051744,ind_ctop_fin_ult1
1051791,ind_ctop_fin_ult1
1051788,ind_tjcr_fin_ult1
1051756,ind_cco_fin_ult1
1051757,ind_ctop_fin_ult1
1051758,ind_tjcr_fin_ult1
1051759,ind_cco_fin_ult1
1051761,ind_ctop_fin_ult1
1051762,ind_cco_fin_ult1
1051763,ind_ctop_fin_ult1
1051764,ind_ctop_fin_ult1
1051765,ind_ctop_fin_ult1
1051768,ind_ctop_fin_ult1
1051769,ind_ecue_fin_ult1
1051771,ind_ctop_fin_ult1
1051772,ind_cco_fin_ult1
1051784,ind_recibo_ult1
1051785,ind_ctop_fin_ult1
1051789,ind_ecue_fin_ult1
1052022,ind_ctop_fin_ult1
1052024,ind_dela_fin_ult1
1052025,ind_ctop_fin_ult1
1052325,ind_ctop_fin_ult1
1052328,ind_ctop_fin_ult1
1052329,ind_cco_fin_ult1
1052331,ind_ctop_fin_ult1
1052336,ind_ctop_fin_ult1
1052339,ind_ctop_fin_ult1
1052341,ind_ctop_fin_ult1
1052342,ind_ctop_fin_ult1
1052343,ind_ctop_fin_ult1
1052345,ind_ctop_fin_ult1
1052346,ind_ctop_fin_ult1
1052347,ind_ctop_fin_ult1
1052349,ind_ctop_fin_ult1
1052350,ind_ctop_fin_ult1
1052352,ind_ctop_fin_ult1
1052322,ind_ctop_fin_ult1
1052354,ind_ctop_fin_ult1
1052318,ind_ctop_fin_ult1
